,index,text,cluster,tweet_id,created_at,author_id,inbound,week,urgency_score,is_repeat_customer,has_prior_interaction,escalation_risk
5131,5131,mention 116057 is the absolute worst terrible customer service terrible experience every time mention postmates_help,2,7845,2017-11-01 21:41:30+00:00,117336,True,2017-10-30/2017-11-05,3,True,True,10
4407,4407,mention amazonhelp so frustrating what's going on never had this issue,1,5897,2017-10-31 23:37:45+00:00,117122,True,2017-10-30/2017-11-05,3,True,True,10
1167,1167,mention 311286 mention sprintcare they won't help you til they've broken you down to tears isn't it enough i had family issues going on why drag me further down,1,1757,2017-10-31 22:28:03+00:00,116098,True,2017-10-30/2017-11-05,3,True,True,10
9667,9667,mention hulu_support just cancelled live tv though still have no commercials plan dvr issues of missing hours and certain rsn shows not recording regularly were never resolved since june hope that those issues eventually are fixed as i'd like to return at some point in the future,1,13426,2017-11-01 01:56:33+00:00,118787,True,2017-10-30/2017-11-05,2,True,True,8
2681,2681,mention 353516 something must've gone wrong ravi please confirm if your issue is addressed post the call jc,2,3601,2017-11-26 00:08:00+00:00,116571,True,2017-11-20/2017-11-26,2,True,True,8
6246,6246,mention 568685 mention 115913 hi kelli we will be here on standby ready to help whenever you have a moment to work with us jasonyaddow,2,9339,2017-10-31 23:26:23+00:00,117666,True,2017-10-30/2017-11-05,2,True,True,8
7849,7849,mention askplaystation huge problem since update 5 0 regarding youtube live streams titles and descriptions from ps4 being changed every 30 mins to default any help,1,11437,2017-11-02 03:13:25+00:00,118193,True,2017-10-30/2017-11-05,2,True,True,8
4663,4663,mention amazonhelp i am not going to do that i know these crap never works all this is just bullshit to waste my time i am totally fed up with your boring useless service that is worthless no use literally no use,1,6972,2017-10-31 23:40:36+00:00,117200,True,2017-10-30/2017-11-05,2,True,True,8
2663,2663,mention 591469 my apologies for any issues you're currently having i'd be happy to help anyway we can please dm your service p,2,3582,2017-11-26 00:17:06+00:00,116568,True,2017-11-20/2017-11-26,2,True,True,8
7861,7861,mention 381354 we want to help dm us and let us know more about the issues you are having,2,11439,2017-10-31 14:34:03+00:00,118193,True,2017-10-30/2017-11-05,2,True,True,8
1434,1434,mention virgintrains mention 147636 it was the assistance that was the problem it was the train toilet being out of order the management not engaging with disabled issues this is the real issue people do not understand could you pass on concerns at the top of the tree and do not allow them to ignore us thnxs,0,2128,2017-10-31 22:27:21+00:00,116176,True,2017-10-30/2017-11-05,2,True,True,8
475,475,mention argoshelpers they wrote me we have determined at our discretion not to proceed with your application but then just never mind i'll just order at amazon they aren't great but i'll get a proper bill without the hassle thanks anyway,2,780,2017-10-31 21:59:34+00:00,115878,True,2017-10-30/2017-11-05,2,True,True,8
6153,6153,mention bofa_help atm s are always down in my city maintenance fees assessed for every thing and can t be waived for it being my first time not knowing on this certain issue and the list goes on,0,9125,2017-11-01 00:11:46+00:00,117632,True,2017-10-30/2017-11-05,2,True,True,8
2583,2583,going on three weeks of not having an issue resolved with mention 118189 it's amazing that nobody will get on the phone and help me mention dropboxsupport,1,3511,2017-10-31 22:45:16+00:00,116539,True,2017-10-30/2017-11-05,2,True,True,8
2576,2576,mention microsofthelps you are not here to help i have been trying to resolve my issue for 3 weeks and the contact team have said they do not associate with you,1,3495,2017-10-31 22:40:19+00:00,116537,True,2017-10-30/2017-11-05,2,True,True,8
2524,2524,mention spotifycares i have a problem can anyone help please,1,3449,2017-11-26 00:21:15+00:00,116527,True,2017-11-20/2017-11-26,2,True,True,8
9570,9570,hi again mention postmates_help i still haven't heard back about my issue any chance you'll get to help me out today or,1,13325,2017-12-01 01:02:00+00:00,118754,True,2017-11-27/2017-12-03,2,True,True,8
4832,4832,mention 684194 we'd like to see how we can help and look into this with you please dm us details on the issues you're having with your icloud and which country you're in we'll look into this with you there,1,7235,2017-11-17 16:13:42+00:00,117242,True,2017-11-13/2017-11-19,2,True,True,8
4864,4864,mention microsofthelps on recovery microsoft installed 10s by error on a desktop and wiped out everything been trying to install windows 10 with no luck your techs are clueless and incompetent beyond belief mention 115890 need to give me a pro code so i can get the computer back working again,1,7312,2017-11-13 17:28:51+00:00,117242,True,2017-11-13/2017-11-19,2,True,True,8
375,375,mention 694174 so sorry for the trouble and frustration our team is aware of and investigating this issue we're working to have a fix asap,1,669,2017-10-31 22:21:12+00:00,115844,True,2017-10-30/2017-11-05,2,True,True,8
6022,6022,mention amazonhelp mention 115850 please look after it this sends a wrong message to customer,2,8900,2017-10-31 23:42:46+00:00,116211,True,2017-10-30/2017-11-05,2,True,True,8
359,359,mention 396593 there is no fee to disconnect service is there an issue with yours that i may help resolve ps,2,654,2017-10-31 22:53:50+00:00,115838,True,2017-10-30/2017-11-05,2,True,True,8
4906,4906,mention uber_support how long should i wait to get rid if too many requests error when trying to verify my phone urgently needed the sms doesn t come,1,7406,2017-11-09 13:44:54+00:00,117242,True,2017-11-06/2017-11-12,2,True,True,8
1598,1598,mention argoshelpers hi ordered some boxes to be delivered between 10am and 1pm today they don't seem to have been shipped and i need them asap is there anything you can do,0,2305,2017-11-01 00:52:55+00:00,116231,True,2017-10-30/2017-11-05,2,True,True,8
277,277,us 59 and fm 1960 in humble tx well populated area and it has horrible service any update on when can we have better signal mention tmobilehelp,1,384,2017-10-31 22:08:05+00:00,115804,True,2017-10-30/2017-11-05,2,True,True,8
2290,2290,mention comcastcares i direct messaged regarding a two year old problem please help,1,3177,2017-10-31 23:09:03+00:00,116445,True,2017-10-30/2017-11-05,2,True,True,8
272,272,mention 544714 hey sorry to hear of the device issues what issues are you getting to upgrade to the iphone 8 let us know so we can help dw,1,380,2017-10-31 22:38:55+00:00,115803,True,2017-10-30/2017-11-05,2,True,True,8
2249,2249,mention 208777 hey giovanni are you getting any error messages when using the app does restarting your device help at all let us know tf,1,3129,2017-10-31 22:43:21+00:00,115911,True,2017-10-30/2017-11-05,2,True,True,8
1620,1620,mention airasiasupport then can you please reschedule the booking to 28 november morning flight from cochin to hyderabad which also having the same fare plz reply immediately,0,2330,2017-10-31 22:54:37+00:00,116239,True,2017-10-30/2017-11-05,2,True,True,8
8849,8849,mention safaricom_care sent money to a wrong number my number is 0702604408 and the transaction number is ljd90ag4ev help reverse the amount,1,12517,2017-11-01 04:31:29+00:00,118505,True,2017-10-30/2017-11-05,2,True,True,8
2821,2821,mention amazonhelp that still doesn't explain why these items are late and also why the new order appears to be having the same issue i've called numerous times and highest i can go is a supervisor whom has no further information on why this is happening,2,3751,2017-11-01 09:36:48+00:00,116617,True,2017-10-30/2017-11-05,2,True,True,8
8228,8228,mention amazonhelp i get it what's being meant you and what best information is being given the way of handling my problem and insight you should be keeping you,1,11848,2017-10-15 14:20:11+00:00,118317,True,2017-10-09/2017-10-15,2,True,True,8
4221,4221,mention upshelp i guess this is just more corporate propaganda won't discuss in public because you look bad,0,5696,2017-10-31 22:12:33+00:00,117051,True,2017-10-30/2017-11-05,2,True,True,8
1070,1070,mention british_airways hi can't seem to check in online via app or website to flight ba 7056 always error 'sorry there seems to be a technical problem please try again in a few minutes ' just wait until we get to the airport,0,1660,2017-10-31 14:14:28+00:00,116067,True,2017-10-30/2017-11-05,2,True,True,8
3736,3736,mention 115851 mention amazonhelp mention 115850 jeffbezos have you founded amazon india to cheat and harass innocent indian people no action and response from you on complaints against amazon india who cheated and harassed me badly a big shame,1,5036,2017-11-01 07:06:21+00:00,116893,True,2017-10-30/2017-11-05,2,True,True,8
9203,9203,mention 473918 just to clarify were you sent the wrong item if so were we able to help get this corrected for you vs,2,12914,2017-11-01 01:28:50+00:00,118620,True,2017-10-30/2017-11-05,2,True,True,8
7048,7048,mention amazonhelp oh and mention 115821 i actually signed up for your prime service so i got my order next day it s 4 30pm and i still don t have it awful service,2,10527,2017-11-01 15:14:32+00:00,117912,True,2017-10-30/2017-11-05,2,True,True,8
3816,3816,first time dealing with mention 115993 security issue terrible service and interface,2,5133,2017-11-26 00:26:52+00:00,116915,True,2017-11-20/2017-11-26,2,True,True,8
3878,3878,mention amazonhelp sometimes you get the generic networking error but then reboot stick and all is well,1,5317,2017-11-26 00:07:40+00:00,116933,True,2017-11-20/2017-11-26,2,True,True,8
3899,3899,mention 115850 mention 133462 thank you for resolving the issue received the message saying refund process has started mention amazonhelp thank you for the help,2,5342,2017-11-02 21:56:42+00:00,116151,True,2017-10-30/2017-11-05,2,True,True,8
9312,9312,mention uber_support still waiting on a resolution to withheld wages i'll never get a straight answer i'm just going to keep asking until the company acknowledges that they have no intention of addressing the issue or of telling me as much scoundrels at the top and middle,0,13025,2017-11-01 01:08:44+00:00,118666,True,2017-10-30/2017-11-05,2,True,True,8
9075,9075,mention amazonhelp thx have emailed but clearly not amazon's fault what sort of post office refuses a delivery because they have too much post a very bad one i think mention 126705,2,12775,2017-11-01 01:17:05+00:00,118584,True,2017-10-30/2017-11-05,2,True,True,8
6647,6647,mention 436375 i did not hear back from you yet please let me know whether your issue is resolved or you need additional help rashmi,2,9775,2017-11-01 06:13:37+00:00,117789,True,2017-10-30/2017-11-05,2,True,True,8
3051,3051,mention 813409 having a battery you can rely on is important let's see how we can help which ios are you on when did this issue start check out these tips to maximize your performance,1,4043,2017-10-31 23:07:02+00:00,116675,True,2017-10-30/2017-11-05,2,True,True,8
6530,6530,mention applesupport hi i m facing problem with my phone 7 plus from time to time receiving the below error msg can you please advise,1,9643,2017-10-31 23:49:32+00:00,117757,True,2017-10-30/2017-11-05,2,True,True,8
2804,2804,mention 172798 mention 172798 so i hate this but is there any possible way you can help me w an account issue that has baffled the help desk for 3 months,1,3732,2017-10-31 23:29:03+00:00,116612,True,2017-10-30/2017-11-05,2,True,True,8
4247,4247,mention 728009 our offer to help is sincere please send me a message when you have the time and i'll get this figured out asap tanyafalandysz,2,5724,2017-10-31 23:07:53+00:00,117059,True,2017-10-30/2017-11-05,2,True,True,8
6507,6507,mention 461581 help is here how long have you noticed this issue ddg,2,9616,2017-10-31 15:31:24+00:00,117749,True,2017-10-30/2017-11-05,2,True,True,8
6501,6501,mention askebay i've done all but stand on my head to find a way to contact customer service on the ebay site i have an issue with a seller return and need help with a refund would love to email a human,1,9609,2017-11-01 01:57:38+00:00,117748,True,2017-10-30/2017-11-05,2,True,True,8
6473,6473,mention 200344 please send me a direct message dm with your account number and i will be able to help you with your cable service issues chad,1,9580,2017-11-01 00:08:53+00:00,117741,True,2017-10-30/2017-11-05,2,True,True,8
